,0
Ppia,0.2095190777356948
Atp6v1f,0.2092360421766648
Tpt1,0.20920428894417264
Elk3,0.20911027736205434
Rplp0,0.20906991718080464
Srgn,0.20895220470391618
Atp5g3,0.2085093285545812
Cd48,0.20815200718163693
Tceb1,0.20786687760915806
Spcs2,0.2078314325755242
Lamtor5,0.20766959945912478
Minos1,0.20761579656915874
Tomm7,0.2076086638848522
Ech1,0.2075593461713148
Laptm5,0.20743546776246158
H2-Q7,0.20728831000209882
Csnk1a1,0.20699691687136657
Eif4a1,0.20681057247694917
Morf4l1,0.2068074534308282
Thy1,0.20665740259483673
Smdt1,0.206301154020383
Ddx5,0.2060959373675665
Rbpj,0.2060260448319428
Ostc,0.20591123043659862
Hn1,0.20549050961237805
Akirin1,0.20543077985131128
Usmg5,0.20530848527569678
Cxcr6,0.20519190345701382
Lgals3,0.20491925989303508
Mrpl33,0.20445197407604734
Fau,0.20424975588622657
Rpl39,0.20406061022640082
Calm3,0.2039569855735437
Cd82,0.20381772779880386
Impa1,0.203631609906364
Ldha,0.20355173689562886
Rpl37a,0.20302022369233821
Cox5b,0.20256058654736117
Actn4,0.20240278282329438
Nono,0.20211835999063466
Map1lc3b,0.20186761060212172
Rhoh,0.20163949670186251
Eif1,0.20143481987343612
Rpl23a,0.20095855491753034
Csnk2b,0.2009146732909555
Rbx1,0.20063279902756112
Atp5f1,0.20056003348591953
Lman2,0.2004332293594869
Ndufb8,0.19958936858802329
Rpl7,0.19945758910153133
Prdx2,0.1994466678255144
Eif3h,0.19922366600015715
Ewsr1,0.19921374681085627
Shfm1,0.19907766479721034
Ywhab,0.1987311062885253
Ndufa1,0.1986819639646385
Ube2n,0.19866798899628704
Arf1,0.19860725341998614
Bsg,0.19850283257219514
Chmp5,0.19821560927648496
Ndufb7,0.19821480129462699
Ramp1,0.19817420274569383
Ccdc12,0.1981114605037251
Psma6,0.19807477057437328
Atp5o,0.1980393928452892
Pet100,0.19801028563422476
Dbi,0.19766612043665405
Rpl13a,0.19750513322438434
Myl12b,0.19743996180904252
Rpl41,0.19702975823224875
Ywhaq,0.1967370832285589
Dnaja1,0.19646095313201012
Mrpl4,0.19633559860874678
Rpl38,0.1960747093303544
Il21r,0.19558976563727168
Hspa8,0.1955844061422691
mt-Nd1,0.19555897870203137
Acot7,0.19553510647272326
Uqcr10,0.19548211419141118
Psenen,0.19503727273934202
Lbh,0.19484169658193468
Atp5k,0.19481620148441087
Cyba,0.19466618339286285
Csrp1,0.19465375338952992
Rpl18a,0.1946086713779453
Rps17,0.19458689203098065
Slc25a5,0.19453349882336896
2010107E04Rik,0.19450657527742066
Wdr1,0.1944893979463261
Akr1a1,0.194421248888409
Tln1,0.19440993439007298
Cd4,0.19433260986086565
Rps7,0.19426857066321732
Ifi27,0.19413365002113422
Cdk2ap2,0.1939575767888886
Dad1,0.19388755065252505
Psmb5,0.19384615620672635
Stat3,0.1935647708028356
Dusp4,0.1934446602632804
Mdh2,0.19333751590437095
Uqcrc1,0.19312740748870344
Rpl34,0.19301286570165596
